교수명,표시 연구실명,핵심 연구분야,직접 검색어 수,직접 검색어,관련 검색어,공식 근거 URL
최한경,Laboratory of Animal Behavior and Circadian Rhythm,생체리듬·일주기 행동 | 사회행동·사회학습 | 감각정보처리 | 신경회로 조절,12,생체리듬 | 일주기 리듬 | circadian rhythm | 일주기 행동 | 사회행동 | social behavior | 사회학습 | social learning | 감각정보처리 | 행동 신경과학 | animal behavior | 신경회로 조절,옥시토신 | 정서 가치 | valence | 행동과 지각,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://abc-neuro.org/ | https://scholar.dgist.ac.kr/researcher/c66e4ca9-2f01-4bab-8beb-eed6bb893a24
고재원,Center for Synapse Diversity and Specificity,시냅스 형성·기능 | 시냅스 다양성·특이성 | 신경회로 형성 | 시냅스 뇌질환,11,시냅스 | synapse | 시냅스 형성 | 시냅스 기능 | 시냅스 접착분자 | synaptic adhesion | 신경회로 | neural circuit | 자폐 스펙트럼 | autism | 신경회로병증,LRRTM | Slitrk | 흥분성 시냅스 | 억제성 시냅스 | 뇌질환,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://jaewonkolaboratory.org/ | https://scholar.dgist.ac.kr/researcher/3c8f27f7-dd68-4a17-85cd-4a915f2791b6
김규형,The K. Kim Lab of Neurobehavior and Neural Circuits,신경행동 | 신경회로 | 신경발생 | 신경유전학,16,신경행동 | neurobehavior | 신경회로 | neural circuit | 신경발생 | neurodevelopment | 신경유전학 | neurogenetics | 예쁜꼬마선충 | C. elegans | 화학감각 | chemosensation | 페로몬 | pheromone | 고유수용감각 | proprioception,GPCR | 신경펩타이드 | 환경 단서 | 행동 조절 | 운동 행동,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://khkim.dgist.ac.kr/ | https://scholar.dgist.ac.kr/researcher/8430c614-0ed9-4459-b8ef-110d8b772137
김민환,Laboratory of Synapse and Circuits Dynamics,시냅스 전달 | 신경회로 연결성 | 신경조절 | 피질 회로 역학,13,시냅스 전달 | synaptic transmission | 시냅스 역학 | synaptic dynamics | 신경회로 연결성 | network connectivity | 신경조절 | neuromodulation | 피질 회로 | cortical circuit | 전기생리 | electrophysiology | 인간 피질,단기 시냅스 가소성 | 주파수 필터링 | 신경망 연결 | 신경 신호,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://sites.google.com/view/kim-lab-dgist/home | https://scholar.dgist.ac.kr/researcher/a662760d-c0e8-4033-a336-823f3daaeee3
김은경,Lab of Neuro-Metabolism & Neurometabolomic Research Center,뇌대사 | 비만·당뇨 | 식욕·에너지 항상성 | 대사체학,15,뇌대사 | neuro metabolism | 비만 | obesity | 당뇨 | diabetes | 식욕 조절 | appetite control | 에너지 항상성 | energy homeostasis | 시상하부 | hypothalamus | 대사체학 | metabolomics | 대사질환,신경펩타이드 | brain body communication | 바이오마커 | 대사성 뇌질환,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://www.ekkimlab.org | https://scholar.dgist.ac.kr/researcher/a4582bbd-e436-4830-9435-6697bd29f9ac
문제일,Laboratory of Chemical Senses,후각 신경계 | 화학감각 | 감각정보처리 | 후각 기반 뇌질환 진단,12,후각 | olfaction | 후각 신경계 | olfactory system | 화학감각 | chemical senses | 냄새 | odor | 후각수용체 | odorant receptor | 후각 인지 | 후각 상실,전자코 | 감각정보처리 | 알츠하이머 조기진단 | EEG 후각 | fNIRS 후각,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://cmoon.dgist.ac.kr/ | https://scholar.dgist.ac.kr/researcher/fa3d7c6b-c651-41f8-858b-066a612aca15
박포정,Optical Neurophysiology Laboratory,학습·기억 | 시냅스 가소성 | 수상돌기 생물물리 | 전압 이미징,15,학습 | learning | 기억 | memory | 학습 기억 | learning and memory | 시냅스 가소성 | synaptic plasticity | 수상돌기 | dendrite | 전압 이미징 | voltage imaging | 광학 신경생리 | optical neurophysiology | 신경 앙상블,형광 이미징 | 유전학적 조작 | 전기생리 | dendritic biophysics,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://www.pojeong.com | https://scholar.dgist.ac.kr/researcher/09a1e906-2b18-4f89-8774-9499e23aa4d4
백명인,Locomotor NeuroCircuit Lab,운동 신경회로 | 감각-운동 회로 | 신경발생 | 운동행동,12,운동 신경회로 | locomotor circuit | 운동회로 | locomotion | 감각 운동 회로 | sensorimotor circuit | 신경발생 | neurodevelopment | 운동행동 | motor behavior | 모터 뉴런 | motor neuron,제브라피쉬 | 동물 모델 | 회로 발생 | gene to behavior,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://locomotion.dgist.ac.kr | https://scholar.dgist.ac.kr/researcher/5ed40ce5-5ad2-4157-845f-2ec7126c7551
서병창,Laboratory of Brain Signal and Synapse Research,이온채널 조절 | 막 흥분성 | 시냅스 전달 | 간질·통증,15,이온채널 | ion channel | 막 흥분성 | membrane excitability | 시냅스 전달 | synaptic transmission | 분자전기생리 | molecular electrophysiology | 전기생리 | 간질 | epilepsy | 통증 | pain | GPCR | 인지질,KCNQ | 칼슘채널 | phosphoinositide | 막지질 | 신호전달,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://sites.google.com/view/suhlab | https://scholar.dgist.ac.kr/researcher/be7757fc-2389-479f-8259-75117268f443
오용석,Molecular Psychiatry Lab,우울·불안 | 만성 스트레스 | 모노아민 신경조절 | 정신질환 신경회로,17,우울증 | depression | 불안장애 | anxiety | 만성 스트레스 | chronic stress | 정신질환 | psychiatric disorder | 모노아민 | monoamine | 세로토닌 | serotonin | 도파민 | dopamine | 항우울제 | antidepressant | 분자정신의학,기분 조절 | 심리적 외상 | 파킨슨병 | 신경적응,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://ohyslab.com/ | https://scholar.dgist.ac.kr/researcher/9b61fdce-ba9b-46bc-ac53-cb169bc5a9f4
엄지원,Synapse Disorder Laboratory,시냅스 장애 | 자폐·조현병 | 알츠하이머병 | 시냅스 항상성,13,시냅스 장애 | synapse disorder | 시냅스 항상성 | synaptic homeostasis | 자폐 | autism | 조현병 | schizophrenia | 알츠하이머 | Alzheimer | 시냅스 제거 | synapse elimination | 흥분 억제 균형,뇌전증 | synaptic gene | 신경회로 활성 | 시냅스 형성,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://umlab.org | https://scholar.dgist.ac.kr/researcher/b94552cb-4de0-41fc-8fca-9b37bf8b97f8
유성운,Laboratory of Neuronal Cell Death,신경세포 사멸 | 신경퇴행 | 성체 신경줄기세포 | 오토파지,11,신경세포 사멸 | neuronal cell death | 신경퇴행 | neurodegeneration | 신경줄기세포 | neural stem cell | 오토파지 | autophagy | 해마 신경발생 | hippocampal neurogenesis | 알츠하이머,스트레스 | 세포 생존 | 미세아교세포 | 인지 저하,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://yuswdgist.com/ | https://scholar.dgist.ac.kr/researcher/32cabc70-3df6-40d8-a3ff-fdb707d32e0c
유우경,Protein Biophysics and Computational Neuroscience Laboratory,단백질 생물물리 | 분자동역학 | 계산신경과학 | 단백질 구조·동역학,13,계산신경과학 | computational neuroscience | 단백질 생물물리 | protein biophysics | 분자동역학 | molecular dynamics | 단백질 구조 | protein structure | 단백질 동역학 | protein dynamics | NMR | 구조 예측 | GPCR 구조,양자생물 | 비정형 단백질 | conformational ensemble | 분자 시뮬레이션,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://wyu.dgist.ac.kr | https://scholar.dgist.ac.kr/researcher/884187dd-cfed-4814-93f5-f452400f7ff8
이광,Neural Dynamics Laboratory,신경회로 역학 | 뇌신호 기록·조절 | 학습·의사결정 | 뇌-기계 인터페이스,19,신경회로 | neural circuit | 신경동역학 | neural dynamics | 뇌신호 | brain signal | 신경기록 | neural recording | 신경조절 | neuromodulation | 뇌기계인터페이스 | 뇌-기계 인터페이스 | brain machine interface | BMI | BCI | brain computer interface | 신경 모델링 | 의사결정 | decision making,감정 기억 | 도파민 역학 | 뇌 네트워크 | 신경 이미징,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://kleelab.github.io/ | https://scholar.dgist.ac.kr/researcher/ac89b40d-c231-4ed4-a650-a1ba6cd2a938
이석규,Environmental Microbiology and Plastic Biodegradation Laboratory,플라스틱 생분해 | 미세플라스틱 대사영향 | 환경미생물 | 분해효소 공학,10,플라스틱 생분해 | plastic biodegradation | 미세플라스틱 | microplastic | 환경미생물 | environmental microbiology | 플라스틱 분해균 | plastic degrading bacteria | 플라스틱 분해효소 | 분해효소 공학,장내 미생물 | 오가노이드 | 대사 영향 | 효소 공학,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://sites.google.com/view/leesukkyoo/home | https://scholar.dgist.ac.kr/researcher/d5d67c89-0ecd-4d3b-80a6-c1c8c9a4ffff
이성배,Laboratory of Neurodegenerative Diseases and Aging,퇴행성 뇌질환 | 신경 노화 | 단백질 품질관리 | 신경계 유지·리모델링,15,퇴행성 뇌질환 | neurodegenerative disease | 신경퇴행 | neurodegeneration | 신경 노화 | neuronal aging | 노화 | aging | 단백질 독성 | proteotoxicity | 단백질 품질관리 | proteostasis | ALS | FTD | 헌팅턴병,초파리 모델 | 수상돌기 병리 | 프로테아좀 | 신경염증,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://sblee.dgist.ac.kr/ | https://scholar.dgist.ac.kr/researcher/6e181952-9a03-4b66-a585-caf0d3fe892f
이효상,Laboratory of Affective Neuroscience,정서 행동 신경회로 | 통증·가려움 | 사회행동·스트레스 | 중독·강박,17,정서 신경회로 | affective circuit | 정서 행동 | emotional behavior | 통증 | pain | 가려움 | itch | 사회행동 | social behavior | 공격행동 | aggression | 중독 | addiction | 강박 | OCD | 사회적 스트레스,성상교세포 | 신경염증 | 급식 행동 | 고통 행동,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://lee.dgist.ac.kr | https://scholar.dgist.ac.kr/researcher/671f091d-ea47-4705-b628-deae6f512d41
정한빈,Structural Cell Biology Laboratory,구조세포생물학 | 막단백질 | 이온채널·수송체 | cryo-EM·cryo-ET,14,구조생물학 | structural biology | 구조세포생물학 | 막단백질 | membrane protein | 이온채널 | ion channel | 수송체 | transporter | cryo-EM | cryo EM | cryo-ET | cryo ET | 전자현미경,단백질 상호작용 | 세포막 | in situ structure | 생물물리,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | https://jeonglab.dgist.ac.kr | https://scholar.dgist.ac.kr/researcher/9d247631-2dcf-46de-8054-0ad46dd63791
조용철,Laboratory of Axon Regeneration and Degeneration,축삭 재생 | 축삭 퇴행 | 신경손상 | 후성유전 조절,14,축삭재생 | 축삭 재생 | axon regeneration | 축삭퇴행 | 축삭 퇴행 | axon degeneration | 신경손상 | neural injury | 척수손상 | spinal cord injury | 말초신경 | peripheral nerve | 신경병증 | neuropathy,세포골격 재구성 | 후성유전 | 축삭 절단 | 재생 치료,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://axonlab.kr | https://scholar.dgist.ac.kr/researcher/ea6a3c05-d45b-49c6-8e9e-13d8e56802ad
현정호,Laboratory of Structural Learning and Neuromodulation,의사결정·인지유연성 | 학습·기억 | 신경조절 | 시스템신경과학,16,의사결정 | decision making | 인지유연성 | cognitive flexibility | 구조적 학습 | structural learning | 학습 | learning | 기억 | memory | 신경조절 | neuromodulation | 시스템신경과학 | system neuroscience | 미니스코프 | calcium imaging,추론 | 정서 상태 | 행동 제어 | 계산 접근,https://www.dgist.ac.kr/prog/peopleProfsr/brain/sub02_01/list.do | http://hyunlab.org | https://scholar.dgist.ac.kr/researcher/125c463c-2791-458d-a8be-a81ee2629916
