"교수명","연구실명","공식 핵심 분야","의도 분류","직접 검색어","관련 검색어","공식 근거 URL"
"권혁준","첨단전자소자 그룹","반도체 소자·공정 | 레이저 기반 반도체 공정 | 유연·웨어러블 전자소자 | AI 소자","semiconductor-device | bioelectronics | memory-semiconductor","반도체 소자 | 반도체 공정 | semiconductor device | semiconductor fabrication | 레이저 반도체 공정 | laser fabrication | 산화물 반도체 | oxide semiconductor | 유연 전자소자 | flexible electronics | AI 소자 | ai device","나노전자소자 | 웨어러블 플랫폼 | 메모리 소자","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://line.dgist.ac.kr/"
"길현재","차세대 경험 및 기술 연구실","HCI·UX | VR·AR 인터페이스 | 멀티센서리 인터랙션 | 햅틱","hci-xr","HCI | UX | 사용자 경험 | human computer interaction | user experience | VR | AR | 가상현실 | 증강현실 | 멀티센서리 인터랙션 | multisensory interaction | 햅틱 | haptics","텍스트 입력 | 차세대 인터페이스","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://dgist-netlab.github.io/"
"김가인","신호처리 회로 및 시스템 연구실","아날로그·혼성신호 회로 | 고속 유선 트랜시버 | 통신 회로 | 하드웨어 가속기","integrated-circuit | communication-network | signal-processing","회로설계 | 아날로그 회로 | analog circuit | 혼성신호 회로 | mixed signal circuit | 집적회로 | IC design | 통신 회로 | communication circuit | 고속 유선 트랜시버 | wireline transceiver | SerDes | ADC | 멀티칩 하드웨어 가속기 | hardware accelerator","RFSoC | OFDM | chip to chip","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"김경대","자율시스템 계획 및 제어 연구실(ARC Lab)","자율시스템 계획 | 자율시스템 제어 | 경로계획·의사결정","autonomous-control","자율시스템 | autonomous system | 자율 시스템 계획 | planning of autonomous systems | 자율 시스템 제어 | control of autonomous systems | 경로 계획 | path planning | 의사결정 | decision making","로봇 제어 | 최적 제어","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://arc.dgist.ac.kr/"
"김기섭","인공지능 소프트웨어공학 연구실","AI 소프트웨어공학 | 소프트웨어공학을 위한 AI | 멀티에이전트 시스템 | LLM 소프트웨어 분석","ai-ml | compiler-programming | data-mining | multimodal-generative","AI for software engineering | 소프트웨어공학 AI | software engineering for AI | AI 소프트웨어공학 | 멀티에이전트 시스템 | multi agent systems | 소프트웨어 분석 | software analytics | LLM 소프트웨어 | 대규모 언어모델 소프트웨어","제조 AI | AI 에이전트 | 코드 생성","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://base.dgist.ac.kr/"
"김백규","고신뢰성 소프트웨어 시스템 연구실","임베디드 소프트웨어 | 정형기법·소프트웨어 검증 | 사이버물리시스템 | 자율시스템","embedded-iot | operating-real-time | formal-verification | autonomous-control | distributed-systems","임베디드 | 임베디드 소프트웨어 | embedded software | IoT | 사물인터넷 | internet of things | 정형기법 | formal method | 소프트웨어 검증 | software verification | 사이버물리시스템 | cyber physical system | CPS | 자율시스템","모델 기반 개발 | 하드웨어 소프트웨어 통합 | 분산 컴퓨팅 | 실시간 시스템","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://hass.dgist.ac.kr/"
"김선준","스마트 입력장치 연구실","HCI | 스마트 입력장치 | 터치스크린 인터랙션 | 텍스트 입력","hci-xr","HCI | human computer interaction | 스마트 입력장치 | smart input device | 텍스트 입력 | text entry | 터치스크린 | touch screen | 포인팅 | pointing | 인터랙션 디자인","사용자 인터페이스 | 입력기술","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"김영식","프라이버시 및 응용 암호 연구실","응용암호 | 양자내성암호 | AI 보안 | 프라이버시 강화 기술 | 차량 보안","security-cryptography","정보보안 | 보안 | 암호 | cryptography | 응용암호 | applied cryptography | 양자내성암호 | post quantum cryptography | AI 보안 | ai security | 프라이버시 | privacy enhancing technology | 동형암호 | homomorphic encryption | 차량 보안 | vehicular security","암호 프로토콜 | 보안 머신러닝","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
"김윤승","무결점시스템 연구실","정형검증 | 대화형 정리증명 | 실시간 분산시스템 | 프로그래밍언어","formal-verification | compiler-programming | operating-real-time | distributed-systems","정형검증 | formal verification | 대화형 정리증명 | interactive theorem proving | 실시간 분산시스템 | real time distributed systems | 프로그래밍 언어 | programming language | 무결점 시스템","소프트웨어 검증 | 분산 시스템 | 정리 증명","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do | https://dgist-vesl.github.io/"
"목지수","자연어 기반 멀티모달 지능 연구실","대규모 언어모델 | 멀티모달 모델링 | 신뢰가능 AI | AI 에이전트","ai-ml | multimodal-generative","LLM | 대규모 언어모델 | large language model | 멀티모달 | multimodal modeling | 멀티모달 LLM | multimodal large language model | AI 에이전트 | ai agent | 비전 언어 행동 모델 | vision language action | 신뢰가능 AI | trustworthy AI","구조화 데이터 AI | AI 평가","https://www.dgist.ac.kr/prog/peopleProfsr/eecs/sub02_01/list.do"
