교수명,공식 연구실명,핵심 연구 분야,검색 intent,직접 검색어 예시,공식 근거
윤동원,바이오 로봇 메카트로닉스 연구실,생체모사 로봇 | 소프트 로봇 | 웨어러블 로봇 | 웨어러블 센서 | 자율 내비게이션 | 센서·액추에이터,robot | robot-control | soft-robot | bioinspired-robot | wearable-robot | wearable-sensor | autonomous-navigation | robot-design | medical-robot,자연모사 로봇 | 생체모사 로봇 | biomimetic robot | bioinspired robot | 유연 로봇 | soft robotics | 웨어러블 로봇 | wearable robot,DGIST 공식 교수 목록·대학원 연구실 안내
김기섭,로봇인식 및 자율화 연구실,SLAM | 모바일 로봇 | 로봇 인식 | 3차원 비전 | 자율주행 | 디지털 트윈,robot | slam | robot-vision | mobile-robot | autonomous-driving | autonomous-navigation | digital-twin,SLAM | 동시적 위치추정 및 지도작성 | 모바일 로봇 | mobile robotics | 로봇 인식 | robot perception | 3차원 비전 | 3d vision,DGIST 공식 교수 목록·대학원 연구실 안내
김동욱,지능형 로보틱스 연구실,로봇 모델링 | 로봇 제어 | 소프트 로보틱스 | 인공지능,robot | robot-control | soft-robot | physical-ai | ai,로봇 모델링 | robot modeling | 로봇 제어 | robot control | 소프트 로봇 | soft robotics | 지능형 로보틱스 | physical intelligent robotics,DGIST 공식 교수 목록·대학원 연구실 안내
김민수,로보틱스 설계 및 생산 연구실(MDR Lab),로봇 설계·제조 | MEMS/NEMS | 바이오메디컬 로보틱스 | 로봇 시스템,robot | robot-design | robot-manufacturing | mems | nems | medical-robot,로봇 설계 | design for robotics | 로봇 제조 | manufacturing for robotics | 로봇 생산 | MEMS | NEMS | 바이오메디컬 로보틱스,DGIST 공식 교수 목록·대학원 연구실 안내
김봉훈,미래연구실(Future Lab),마이크로로봇 | MEMS/NEMS | 웨어러블 센서 | 바이오 집적 전자 | 3차원 전자소자 | 2차원 나노재료,micro-robot | mems | nems | wearable-sensor | bioelectronics | nano-material | photonics,마이크로로봇 | microrobotics | MEMS | NEMS | 웨어러블 센서 | wearable sensor | 바이오 집적 전자 | bio-integrated electronics,DGIST 공식 교수 목록·대학원 연구실 안내
김소희,신경인터페이스 및 마이크로시스템 연구실,신경 인터페이스 | 뇌-기계 인터페이스 | 신경자극 디바이스 | 신축성 웨어러블 센서 | 소프트 바이오전자,neural-interface | bmi | neurostimulation | wearable-sensor | bioelectronics | mems | nems,신경 인터페이스 | neural interface | 뇌 기계 인터페이스 | brain-machine interface | 뇌 컴퓨터 인터페이스 | brain-computer interface | BMI | BCI,DGIST 공식 교수 목록·대학원 연구실 안내
김회준,나노 소재 및 소자 연구실,반도체 재료·센서 | MEMS/NEMS | 기능성 나노소재 | 로봇 센서 | 에너지 하베스팅,mems | nems | robot-sensor | wearable-sensor | semiconductor-sensor | energy-harvesting | nano-material,반도체 센서 | semiconductor sensor | 로봇 센서 | robotic sensor | MEMS sensor | MEMS | NEMS | 기능성 나노소재,DGIST 공식 교수 목록·대학원 연구실 안내
남강현,모빌리티제어 연구실,차량 동역학 | 차량 제어 | 모빌리티 메카트로닉스 | 인공지능,autonomous-driving | vehicle-control | mobility | robot-control | ai,차량 동역학 | vehicle dynamics | 차량 제어 | vehicle control | 모빌리티 제어 | mobility control | 모빌리티 메카트로닉스 | mobility mechatronics,DGIST 공식 교수 목록·대학원 연구실 안내
노어진,소프트 증강지능 연구실,소프트 로보틱스 | 웨어러블 로보틱스 | Embodied Intelligence | 바이오메디컬 응용,soft-robot | wearable-robot | rehabilitation-robot | embodied-ai | physical-ai | medical-robot,소프트 로봇 | soft robotics | 웨어러블 로봇 | wearable robotics | 재활 로봇 | rehabilitation robot | Embodied Intelligence | 체화 지능,DGIST 공식 교수 목록·대학원 연구실 안내
문인규,지능형 이미징 및 비전 시스템 연구실,바이오메디컬 이미징 | AI 영상분석 | 영상처리 | 디지털 홀로그래피 | 영상 암호,medical-imaging | biomedical-imaging | image-processing | ai | holography | image-security,바이오메디컬 이미징 | biomedical imaging | 의료영상 | medical imaging | AI 영상분석 | image analysis | 영상처리 | image processing,DGIST 공식 교수 목록·대학원 연구실 안내
박경서,인터랙티브 로봇 연구실,물리적 인간-로봇 상호작용 | 유연 로봇 피부 | 안전한 로봇 시스템 | Physical AI,hri | robot-skin | wearable-sensor | physical-ai | robot-safety,물리적 인간 로봇 상호작용 | physical human-robot interaction | pHRI | 로봇 피부 | robot skin | 유연 로봇 피부 | flexible robot skin | 안전한 로봇 시스템,DGIST 공식 교수 목록·대학원 연구실 안내
박석호,멀티스케일 의학 로봇 연구실,생의학 마이크로·나노로봇 | 수술 로봇 | 바이오 초소형 의료기구,micro-robot | nano-robot | medical-robot | surgical-robot,생의학 마이크로로봇 | biomedical microrobot | 마이크로 로봇 | micro robot | 나노 로봇 | nano robot | 마이크로나노 로봇 | micro nano robotics,DGIST 공식 교수 목록·대학원 연구실 안내
